City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Venado Tuerto,AR,-33.7456,-61.9688,66.88,45,70,15.37,broken clouds
289,Villazon,BO,-22.0866,-65.5942,54.66,9,81,1.7,broken clouds
290,Wawa,NG,9.9022,4.4192,96.48,33,92,3.18,overcast clouds
291,Bosaso,SO,11.2842,49.1816,90.43,57,6,1.97,clear sky
292,Alexandria,EG,31.2156,29.9553,72.82,68,0,16.28,clear sky
293,Kalmunai,LK,7.4167,81.8167,81.63,76,81,3.44,broken clouds
294,Gravdal,NO,68.1214,13.5031,51.62,75,26,10.6,scattered clouds
295,Whitley Bay,GB,55.0397,-1.4471,70.81,53,20,1.99,few clouds
296,Keti Bandar,PK,24.1447,67.4497,86.13,68,15,12.95,few clouds
297,Mmabatho,ZA,-25.85,25.6333,46.36,25,0,9.86,clear sky
298,Bambanglipuro,ID,-7.95,110.2833,61.61,90,89,4.36,overcast clouds
299,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,10.36,broken clouds
300,Cidreira,BR,-30.1811,-50.2056,77.49,58,0,5.97,clear sky
301,Oussouye,SN,12.485,-16.5469,89.06,48,91,12.06,overcast clouds
302,Codrington,AU,-38.2667,141.9667,52.97,90,100,7.78,overcast clouds
303,Matara,LK,5.9485,80.5353,79.0,87,85,11.36,overcast clouds
304,Virden,US,39.5009,-89.7679,84.02,56,0,11.03,clear sky
305,Ostrovnoy,RU,68.0531,39.5131,44.78,73,79,16.17,broken clouds
306,Erzin,TR,36.9559,36.2,81.12,65,0,9.17,clear sky
307,Hailar,CN,49.2,119.7,52.74,74,6,7.61,clear sky
308,Erenhot,CN,43.6475,111.9767,68.23,29,2,11.56,clear sky
309,Vardo,NO,70.3705,31.1107,44.58,70,40,21.85,scattered clouds
310,Poya,NC,-21.35,165.15,70.0,87,100,9.24,overcast clouds
311,South Venice,US,27.0531,-82.4243,88.99,68,1,11.5,clear sky
312,Champerico,GT,14.3,-91.9167,92.35,70,100,4.92,overcast clouds
313,Awash,ET,8.9833,40.1667,86.07,36,67,13.98,broken clouds
314,Chatelet,BE,50.4034,4.5283,59.76,96,90,3.44,mist
315,Nichinan,JP,31.6,131.3667,60.96,94,100,5.41,light rain
316,Maceio,BR,-9.6658,-35.7353,78.24,88,75,14.74,broken clouds
317,Nuuk,GL,64.1835,-51.7216,43.41,87,75,13.8,light rain
318,Seredka,RU,58.1584,28.1858,73.15,58,90,6.2,overcast clouds
319,Takoradi,GH,4.8845,-1.7554,83.23,71,50,12.68,scattered clouds
320,Whyalla,AU,-33.0333,137.5833,49.89,87,9,5.75,clear sky
321,Hilton Head Island,US,32.2163,-80.7526,89.65,79,20,5.75,few clouds
322,Te Anau,NZ,-45.4167,167.7167,39.13,91,24,1.83,few clouds
323,Constantine,DZ,36.365,6.6147,92.61,29,40,3.44,scattered clouds
324,Mananjary,MG,-21.2167,48.3333,73.85,80,33,6.24,light rain
325,Sena Madureira,BR,-9.0656,-68.6569,90.07,44,100,1.14,overcast clouds
326,Wembley,AU,-31.9333,115.8,53.06,93,0,4.03,clear sky
327,Ilinskiy,RU,55.619,38.1182,68.58,55,0,11.18,clear sky
328,Isla Mujeres,MX,21.2311,-86.731,89.65,67,26,10.42,scattered clouds
329,Neuquen,AR,-38.9516,-68.0591,55.29,41,0,9.22,clear sky
330,Mundo Nuevo,MX,18.7,-95.5,81.95,73,100,1.83,overcast clouds
331,Talcahuano,CL,-36.7167,-73.1167,53.28,66,0,11.5,clear sky
332,Monrovia,LR,6.3005,-10.7969,87.57,73,99,7.87,overcast clouds
333,Augusto Correa,BR,-1.0217,-46.635,87.39,59,11,7.63,few clouds
334,Pangnirtung,CA,66.1451,-65.7125,37.4,87,75,14.97,broken clouds
335,Turtas,RU,58.9417,69.1325,64.44,54,69,7.67,broken clouds
336,Maromitsa,RU,59.8683,48.0123,67.26,58,35,5.19,scattered clouds
337,Dingle,PH,10.9995,122.6711,77.2,90,41,2.55,light rain
338,Krasnoselkup,RU,65.7,82.4667,35.98,72,92,20.62,overcast clouds
339,Bintulu,MY,3.1667,113.0333,79.21,94,40,4.61,scattered clouds
340,Fairbanks,US,64.8378,-147.7164,55.92,67,1,5.75,clear sky
341,Tautira,PF,-17.7333,-149.15,77.02,78,80,12.35,broken clouds
342,Jalu,LY,29.0331,21.5482,89.96,13,0,13.69,clear sky
343,Batticaloa,LK,7.7102,81.6924,82.62,73,81,2.93,broken clouds
344,Vanimo,PG,-2.6741,141.3028,75.24,87,63,4.36,broken clouds
